VehicleId,VehicleDescription,Make,Model,ModelYear,ComplaintsCount,RecallsCount,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,InvestigationCount,VehiclePicture
20737,2025 Kia EV9 SUV RWD,KIA,EV9,2025,5.0,1.0,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v15261P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15179P001.jpg,,5,5,5,4,Not Rated,0.109,0.0,N,5,https://static.nhtsa.gov/crashTest/images/2025/v15260P114.jpg,,Standard,Standard,Standard,0.0,
20718,2025 Kia K4 4 DR FWD,KIA,K4,2025,8.0,1.0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2025/v15319P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15320P001.jpg,,5,5,5,5,Not Rated,0.099,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15321P001.jpg,,Standard,Standard & Optional,Standard,0.0,
20720,2025 Kia K5 4 DR AWD,KIA,K5,2025,18.0,2.0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2025/v11268P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11268C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11267P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11267C013.wmv,5,5,5,4,Not Rated,0.107,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11269P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11269C013.wmv,Standard,Standard,Standard,0.0,
20719,2025 Kia K5 4 DR FWD,KIA,K5,2025,18.0,2.0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2025/v11268P084.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11268C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v11267P105.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11267C013.wmv,5,5,5,4,Not Rated,0.107,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v11269P074.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v11269C013.wmv,Standard,Standard,Standard,0.0,https://static.nhtsa.gov/images/vehicles/54888_cc0640_032_KLM.png
20732,2025 Kia Niro SUV FWD,KIA,NIRO,2025,3.0,1.0,4,4,4,4,https://static.nhtsa.gov/crashTest/images/2025/v14316P122.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15326P001.jpg,,5,5,5,4,Not Rated,0.118,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v14364P112.jpg,https://static.nhtsa.gov/crashTest/videos/2025/v14364C014.wmv,Standard,Standard & Optional,Standard,0.0,https://static.nhtsa.gov/images/vehicles/51925_st0640_046.png
20734,2025 Kia Niro EV SUV FWD,KIA,NIRO EV,2025,0.0,1.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20733,2025 Kia Niro Plug-in Hybrid SUV FWD,KIA,NIRO PLUG-IN HYBRID,2025,1.0,1.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20716,2025 Kia Seltos SUV AWD,KIA,SELTOS,2025,7.0,0.0,5,5,5,4,https://static.nhtsa.gov/crashTest/images/2025/v15046P001.JPG,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15051P105.JPG,,5,5,5,4,Not Rated,0.151,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15048P001.JPG,,Standard,Standard & Optional,Standard,0.0,https://static.nhtsa.gov/images/vehicles/55136_cc0640_032_KLG.png
20715,2025 Kia Seltos SUV FWD,KIA,SELTOS,2025,7.0,0.0,5,5,5,4,https://static.nhtsa.gov/crashTest/images/2025/v15046P001.JPG,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15051P105.JPG,,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15048P001.JPG,,Standard,Standard & Optional,Standard,0.0,
20075,2025 Land Rover Land Rover Defender 110 SUV 4WD,LAND ROVER,LAND ROVER DEFENDER 110,2025,1.0,1.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20076,2025 Land Rover Land Rover Defender 130 SUV 4WD,LAND ROVER,LAND ROVER DEFENDER 130,2025,1.0,1.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20073,2025 Land Rover Land Rover Discovery SUV 4WD,LAND ROVER,LAND ROVER DISCOVERY,2025,0.0,0.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20074,2025 Land Rover Land Rover Defender 90 SUV 4WD,LAND ROVER,LAND ROVER DEFENDER 90,2025,1.0,1.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20080,2025 Land Rover Land Rover Range Rover SUV 4WD,LAND ROVER,LAND ROVER RANGE ROVER,2025,2.0,1.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20072,2025 Land Rover Land Rover Discovery Sport SUV 4WD,LAND ROVER,LAND ROVER DISCOVERY SPORT,2025,5.0,0.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20077,2025 Land Rover Land Rover Range Rover Evoque SUV 4WD,LAND ROVER,LAND ROVER RANGE ROVER EVOQUE,2025,0.0,0.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20079,2025 Land Rover Land Rover Range Rover Sport SUV 4WD,LAND ROVER,LAND ROVER RANGE ROVER SPORT,2025,2.0,1.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20078,2025 Land Rover Land Rover Range Rover Velar SUV 4WD,LAND ROVER,LAND ROVER RANGE ROVER VELAR,2025,0.0,0.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20220,2025 Lexus ES 250 4 DR AWD,LEXUS,ES 250,2025,0.0,0.0,5,4,5,4,,,5,5,5,,,5,5,5,4,Not Rated,0.105,0.0,No Tip,5,,,Standard,Standard,Standard,0.0,
