cityPercent,highwayPercent,lastDate,mpg,state,vehicleId
50,50,2017-09-14T00:00:00-04:00,48.5,CO,26425
0,0,2012-11-29T00:00:00-05:00,48.486063072,MI,26425
0,0,2009-12-22T00:00:00-05:00,48.456140351,KY,26425
90,10,2011-07-04T00:00:00-04:00,48.348581773,FL,26425
20,80,2017-12-30T00:00:00-05:00,48.3,KY,26425
60,40,2009-08-16T00:00:00-04:00,48.295117025,RI,26425
30,70,2015-02-21T00:00:00-05:00,48.275618375,WA,26425
30,70,2013-06-01T00:00:00-04:00,48.2,NC,26425
0,0,2015-06-26T00:00:00-04:00,48.2,IN,26425
0,100,2025-08-17T00:00:00-04:00,48.16439709,MO,26425
58,42,2010-08-27T00:00:00-04:00,48.081895788,FL,26425
56,44,2025-08-24T00:00:00-04:00,48.069309946,IL,26425
47,53,2017-05-27T00:00:00-04:00,48.034486023,IL,26425
60,40,2012-04-07T00:00:00-04:00,48.0,MI,26425
20,80,2010-02-18T00:00:00-05:00,48.0,CA,26425
0,0,2012-03-25T00:00:00-04:00,47.952778578,LA,26425
39,61,2011-10-12T00:00:00-04:00,47.702402191,VA,26425
35,65,2012-04-17T00:00:00-04:00,47.692209206,TN,26425
30,70,2011-04-02T00:00:00-04:00,47.6,WI,26425
98,2,2010-02-05T00:00:00-05:00,47.431045087,VA,26425
50,50,2011-05-25T00:00:00-04:00,47.381637778,TX,26425
32,68,2010-04-23T00:00:00-04:00,47.293936129,MI,26425
20,80,2011-06-19T00:00:00-04:00,47.236763786,FL,26425
39,61,2013-08-23T00:00:00-04:00,47.206972107,MD,26425
41,59,2012-03-27T00:00:00-04:00,47.082680976,CA,26425
0,0,2012-09-06T00:00:00-04:00,47.076240586,AR,26425
53,47,2011-01-24T00:00:00-05:00,47.030379481,CA,26425
40,60,2013-08-03T00:00:00-04:00,47.0,TX,26425
23,77,2010-06-09T00:00:00-04:00,46.895950794,NJ,26425
52,48,2015-04-15T00:00:00-04:00,46.801978472,NJ,26425
83,17,2013-05-22T00:00:00-04:00,46.726642344,TN,26425
40,60,2011-03-06T00:00:00-05:00,46.696768061,PA,26425
51,49,2025-08-27T00:00:00-04:00,46.634672099,AZ,26425
60,40,2013-07-29T00:00:00-04:00,46.599785408,TX,26425
50,50,2011-02-16T00:00:00-05:00,46.513541396,TX,26425
80,20,2009-11-25T00:00:00-05:00,46.5,NJ,26425
0,0,2011-06-01T00:00:00-04:00,46.364579825,MO,26425
60,40,2010-03-07T00:00:00-05:00,46.334118489,CA,26425
50,50,2009-08-07T00:00:00-04:00,46.309696093,CA,26425
50,50,2011-03-16T00:00:00-04:00,46.296245282,VA,26425
46,54,2014-07-31T00:00:00-04:00,46.122223893,MD,26425
40,60,2018-11-12T00:00:00-05:00,46.0,WA,26425
80,20,2010-04-21T00:00:00-04:00,45.9,TX,26425
0,0,2009-10-08T00:00:00-04:00,45.793397231,CA,26425
81,19,2011-11-24T00:00:00-05:00,45.691592427,IN,26425
49,51,2012-10-23T00:00:00-04:00,45.631768533,NC,26425
40,60,2014-01-22T00:00:00-05:00,45.365984792,NY,26425
30,70,2012-11-22T00:00:00-05:00,45.278230612,NY,26425
73,27,2013-02-25T00:00:00-05:00,45.269350296,OH,26425
0,0,2010-09-10T00:00:00-04:00,45.079441631,TX,26425
0,0,2013-03-18T00:00:00-04:00,44.897670887,IN,26425
0,0,2025-08-22T00:00:00-04:00,44.786579196,NY,26425
