efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
SHNXV01.5SDC,48178,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SHNXV02.0FEK,48502,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.0FEK,48502,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV02.0GES,48503,7,6.0,-1.0,1,OT,Other
SHNXV02.0GES,48503,3,6.0,-1.0,1,T3B30,Federal Tier 3 Bin 30
SHNXV02.0TDC,48042,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SHNXV02.0TDC,48042,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SHNXT01.5N7S,47956,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SHNXT01.5N7S,47956,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SHNXT01.5M8T,47949,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXT01.5M8T,47949,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXT02.0PWC,47957,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXT02.0PWC,47957,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXT02.0PWC,47950,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXT02.0PWC,47950,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV02.02EC,47782,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.02EC,47782,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV02.02EC,47783,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.02EC,47783,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXT03.5R4C,48254,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SHNXT03.5R4C,48254,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHNXV03.513D,47753,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV03.513D,47753,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXT03.53TC,48092,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SHNXT03.53TC,48092,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHNXV03.513D,47754,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV03.513D,47754,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV03.513D,47728,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV03.513D,47728,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV03.513D,47755,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV03.513D,47755,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT00.0023,49090,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SGMXT00.0023,49090,7,10.0,-1.0,2,ZEV,California ZEV
SGMXT00.0023,49089,7,10.0,-1.0,2,ZEV,California ZEV
SGMXT00.0023,49089,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SGMXT00.0022,49091,7,10.0,-1.0,2,ZEV,California ZEV
SGMXT00.0022,49091,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHNXT03.53TC,48246,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SHNXT03.53TC,48246,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHNXT03.53TC,48247,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SHNXT03.53TC,48247,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHYXV01.6CC7,48021,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHYXV01.6CC7,48021,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SHYXV02.0CE3,48020,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXV02.0CE3,48020,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXV02.0CE3,48019,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHYXV02.0CE3,48019,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHYXV00.0W00,48710,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0W00,48710,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV02.0CG8,48025,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SHYXV02.0CG8,48025,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SHYXV01.6C13,48023,3,6.0,-1.0,1,T3B30,Federal Tier 3 Bin 30
SHYXV01.6C13,48023,7,6.0,-1.0,1,L3SULEV30,California LEV-III SULEV30
SHYXV02.0CG8,48024,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SHYXV02.0CG8,48024,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SHYXV00.0W00,48712,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0W00,48712,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV01.6C13,48022,7,6.0,-1.0,1,L3SULEV30,California LEV-III SULEV30
SHYXV01.6C13,48022,3,6.0,-1.0,1,T3B30,Federal Tier 3 Bin 30
SHYXV00.0W00,48711,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0W00,48711,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0W04,48360,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0W04,48360,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0W03,49092,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0W03,49092,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0W02,48713,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0W02,48713,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0W01,48714,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0W01,48714,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0202,48361,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0202,48361,7,10.0,-1.0,2,ZEV,California ZEV
SHYXV00.0202,48365,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SHYXV00.0202,48365,7,10.0,-1.0,2,ZEV,California ZEV
