efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
SVGAV00.0B6A,48683,7,10.0,-1.0,2,ZEV,California ZEV
SVGAV00.0B6A,48683,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0B6A,48684,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0B6A,48684,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0B6B,48297,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0B6B,48297,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0B6B,48298,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0B6B,48298,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0B6A,48685,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0B6A,48685,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0B6B,48686,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0B6B,48686,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0B6B,48687,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0B6B,48687,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT02.0A77,47804,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAT02.0A77,47804,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7N,47805,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7N,47805,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAT00.0AZE,48299,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0AZE,48299,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0AZE,48300,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0AZE,48300,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAJ03.0N7N,48286,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAJ03.0N7N,48286,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAT00.0AZE,48301,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0AZE,48301,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0AZE,48302,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0AZE,48302,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAJ03.0N7F,48006,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAJ03.0N7F,48006,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ04.0NAT,48051,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SVGAJ04.0NAT,48051,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SVGAJ04.0NAT,48007,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SVGAJ04.0NAT,48007,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SVGAV00.0NZG,48993,7,10.0,-1.0,2,ZEV,California ZEV
SVGAV00.0NZG,48993,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0NZG,48993,7,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAJ04.0NAT,48115,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SVGAJ04.0NAT,48115,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SVGAV00.0NZG,48688,7,10.0,-1.0,2,ZEV,California ZEV
SVGAV00.0NZG,48688,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0NZG,48688,7,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0NZG,48689,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0NZG,48689,7,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0NZG,48689,7,10.0,-1.0,2,ZEV,California ZEV
SVGAV02.0A7N,48150,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAV02.0A7N,48150,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7F,47973,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAJ03.0N7F,47973,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7S,49041,7,4.0,-1.0,-1,L4ULEV70,California LEV-IV ULEV70
SVGAJ03.0N7S,49041,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7F,48005,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAJ03.0N7F,48005,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7N,48173,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAJ03.0N7N,48173,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7N,48174,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7N,48174,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAJ04.0NAT,48037,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SVGAJ04.0NAT,48037,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SVGAJ03.0N7F,48072,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAJ03.0N7F,48072,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7F,48073,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ03.0N7F,48073,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAT00.0B6B,48303,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0B6B,48303,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0B6B,48690,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0B6B,48690,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT04.0NAV,47806,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SVGAT04.0NAV,47806,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SVGAT04.0NAV,48114,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SVGAT04.0NAV,48114,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SVGAT00.0AZS,48304,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0AZS,48304,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0AZS,48305,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0AZS,48305,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0AZS,48306,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0AZS,48306,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT00.0AZS,48307,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAT00.0AZS,48307,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT04.0PAA,48554,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SVGAT04.0PAA,48554,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SVGAT04.0PAA,48555,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SVGAT04.0PAA,48555,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SVGAT03.0NAQ,48654,3,2.0,-1.0,-1,T3B125,Federal Tier 3 Bin 125
SVGAT03.0NAQ,48654,7,2.0,-1.0,-1,L3ULEV125,California LEV-III ULEV125
SVGAV04.0P7B,48998,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAV04.0P7B,48998,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAV04.0P7B,48999,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAV04.0P7B,48999,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAV04.0P7B,49000,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAV04.0P7B,49000,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAV04.0P7B,49001,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAV04.0P7B,49001,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAV04.0P7B,49002,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAV04.0P7B,49002,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAV04.0P7B,49003,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAV04.0P7B,49003,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
CFMXT04.65H9,31873,3,2.0,-1.0,-1,B8,Bin 8
CFMXT04.65H9,31873,7,2.0,-1.0,-1,B8,Bin 8
ATYXV01.8HC3,26425,3,7.0,-1.0,1,B3,BIN 3
ATYXV01.8HC3,26425,7,9.0,-1.0,2,S2,SULEV II
