vehicleId;vehicleDescription;make;model;modelYear;complaintsCount;recallsCount;overallRating;overallFrontCrashRating;frontCrashDriversideRating;frontCrashPassengersideRating;frontCrashPicture;frontCrashVideo;overallSideCrashRating;sideCrashDriversideRating;sideCrashPassengersideRating;sideCrashPicture;sideCrashVideo;combinedSideBarrierAndPoleRating-Front;combinedSideBarrierAndPoleRating-Rear;sideBarrierRating-Overall;rolloverRating;rolloverRating2;rolloverPossibility;rolloverPossibility2;dynamicTipResult;sidePoleCrashRating;sidePolePicture;sidePoleVideo;nHTSAElectronicStabilityControl;nHTSAForwardCollisionWarning;nHTSALaneDepartureWarning;investigationCount;vehiclePicture
20050;2025 Ford Explorer HEV SUV RWD;FORD;EXPLORER HEV;2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Standard;Standard;0;
20310;2025 Ford F-150 (Regular Cab) Gas PU/RC 4WD;FORD;F-150 (REGULAR CAB) GAS;2025;25;10;5;5;4;5;;;5;5;;;;5;;5;4;;0.191;0.0;No Tip;5;;;Standard;Standard & Optional;Standard;0;
20309;2025 Ford F-150 (Regular Cab) Gas PU/RC RWD;FORD;F-150 (REGULAR CAB) GAS;2025;25;10;5;5;4;5;;;5;5;;;;5;;5;4;;0.164;0.0;No Tip;5;;;Standard;Standard & Optional;Standard;0;
20312;2025 Ford F-150 (Super Cab) Gas PU/EC 4WD;FORD;F-150 (SUPER CAB) GAS;2025;25;10;5;5;4;5;https://static.nhtsa.gov/crashTest/images/2025/v11572P084.JPG;https://static.nhtsa.gov/crashTest/videos/2025/v11572C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v11573P105.JPG;https://static.nhtsa.gov/crashTest/videos/2025/v11573C013.wmv;5;5;5;4;;0.191;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v11593P074.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v11593C013.wmv;Standard;Standard & Optional;Standard;0;
20311;2025 Ford F-150 (Super Cab) Gas PU/EC RWD;FORD;F-150 (SUPER CAB) GAS;2025;25;10;5;5;4;5;https://static.nhtsa.gov/crashTest/images/2025/v11572P084.JPG;https://static.nhtsa.gov/crashTest/videos/2025/v11572C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v11573P105.JPG;https://static.nhtsa.gov/crashTest/videos/2025/v11573C013.wmv;5;5;5;4;;0.164;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v11593P074.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v11593C013.wmv;Standard;Standard & Optional;Standard;0;
20314;2025 Ford F-150 (Super Crew) Gas PU/CC 4WD;FORD;F-150 (SUPER CREW) GAS;2025;25;10;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v11490P084.JPG;https://static.nhtsa.gov/crashTest/videos/2025/v11490C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v11599P105.JPG;https://static.nhtsa.gov/crashTest/videos/2025/v11599C013.wmv;5;5;5;4;;0.191;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v11494P074.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v11494C013.wmv;Standard;Standard & Optional;Standard;0;
20313;2025 Ford F-150 (Super Crew) Gas PU/CC RWD;FORD;F-150 (SUPER CREW) GAS;2025;25;10;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v11490P084.JPG;https://static.nhtsa.gov/crashTest/videos/2025/v11490C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v11599P105.JPG;https://static.nhtsa.gov/crashTest/videos/2025/v11599C013.wmv;5;5;5;4;;0.164;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v11494P074.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v11494C013.wmv;Standard;Standard & Optional;Standard;0;
20315;2025 Ford F-150 (Super Crew) HEV PU/CC 4WD;FORD;F-150 (SUPER CREW) HEV;2025;2;2;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14353P122.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14353C020.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14246P143.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14246C014.wmv;5;5;5;4;;0.0;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v14247P112.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14247C003.wmv;Standard;Standard & Optional;Standard;0;
20316;2025 Ford F-150 (Super Crew) Lightning BEV PU/CC 4WD;FORD;F-150 (SUPER CREW) LIGHTNING BEV;2025;0;2;5;4;4;4;https://static.nhtsa.gov/crashTest/images/2025/v14307P122.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14307C020.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14315P143.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14315C014.wmv;5;5;5;4;;0.127;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v14320P112.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14320C014.wmv;Standard;Standard & Optional;Standard;0;
20322;2025 Ford F-250 (Crew Cab) PU/CC 4WD;FORD;F-250 (CREW CAB);2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Optional;Optional;0;
